"lakeid","year4","sampledate","depth_range_m","rep","tri_chl_spec","mono_chl_spec","phaeo_spec","uncorrect_chl_fluor","correct_chl_fluor","phaeo_fluor","flag_spec","flag_fluor"
"FI",2007,"2007-08-09",0,1,,,,7.5,6.5,2.2,,"D"
"FI",2007,"2007-08-09",2,1,,,,9.4,8.5,1.9,,"D"
"FI",2007,"2007-08-09",3,1,,,,9.5,8.5,2.2,,"D"
"FI",2007,"2007-08-09",4,1,,,,9.9,8.6,2.6,,"D"
"FI",2007,"2007-08-09",5,1,,,,10.5,9.3,2.7,,"D"
"FI",2007,"2007-08-09",6,1,,,,10.5,8.8,3.6,,"D"
"FI",2007,"2007-08-09",7,1,,,,5.1,4.0,2.2,,"D"
"FI",2007,"2007-08-09",8,1,,,,2.9,2.2,1.5,,"D"
"FI",2007,"2007-08-09",9,1,,,,3.4,2.6,1.7,,"D"
"FI",2007,"2007-08-09",10,1,,,,2.8,2.2,1.2,,"D"
"FI",2007,"2007-08-09",11,1,,,,2.9,2.2,1.5,,"D"
"FI",2007,"2007-08-09",12,1,,,,2.4,1.9,1.1,,"D"
"FI",2007,"2007-08-09","0-2",1,,,,9.9,8.9,2.0,,"D"
"FI",2007,"2007-08-09","0-2",2,,,,8.3,7.4,1.9,,"D"
"ME",2007,"2007-08-20","0-2",1,,,,5.5,5.0,1.1,,"D"
"ME",2007,"2007-08-20","0-2",2,,,,4.6,4.0,1.2,,"D"
"ME",2007,"2007-08-20","0-8",1,,,,5.4,4.9,1.2,,"D"
"MO",2007,"2007-08-20","0-2",1,,,,9.2,8.2,2.0,,"D"
"MO",2007,"2007-08-20","0-2",2,,,,8.9,7.6,2.8,,"D"
"MO",2007,"2007-08-20","0-8",1,,,,9.4,8.2,2.6,,"D"
"WI",2007,"2007-08-21","0-2",1,,,,14.1,12.5,3.6,,"D"
"WI",2007,"2007-08-21","0-2",2,,,,15.3,13.3,4.1,,"D"
"FI",2007,"2007-08-22","0-2",1,,,,9.1,8.0,2.3,,"D"
"FI",2007,"2007-08-22","0-2",2,,,,7.5,6.5,2.2,,"D"
"ME",2007,"2007-09-04",0,1,,,,4.8,4.3,0.9,,"D"
"ME",2007,"2007-09-04",2,1,,,,6.0,5.5,1.1,,"D"
"ME",2007,"2007-09-04",4,1,,,,7.6,7.2,1.0,,"D"
"ME",2007,"2007-09-04",6,1,,,,6.8,6.2,1.3,,"D"
"ME",2007,"2007-09-04",8,1,,,,5.1,4.5,1.2,,"D"
"ME",2007,"2007-09-04",10,1,,,,3.0,2.5,1.1,,"D"
"ME",2007,"2007-09-04",12,1,,,,3.5,3.0,1.1,,"D"
"ME",2007,"2007-09-04","0-2",1,,,,6.4,5.9,0.9,,"D"
"ME",2007,"2007-09-04","0-2",2,,,,5.1,4.6,1.0,,"D"
"ME",2007,"2007-09-04","0-8",1,,,,0.9,0.8,0.1,,"D"
"MO",2007,"2007-09-04",0,1,,,,7.4,6.9,1.0,,"D"
"MO",2007,"2007-09-04",2,1,,,,7.8,7.3,1.0,,"D"
"MO",2007,"2007-09-04",4,1,,,,6.0,0.6,11.5,,"D"
"MO",2007,"2007-09-04",6,1,,,,7.6,7.1,1.1,,"D"
"MO",2007,"2007-09-04",8,1,,,,4.8,4.0,1.6,,"D"
"MO",2007,"2007-09-04",10,1,,,,2.4,0.8,3.3,,"D"
"MO",2007,"2007-09-04",12,1,,,,1.5,-6.5,16.9,,"D"
"MO",2007,"2007-09-04","0-2",1,,,,6.3,5.8,1.0,,"D"
"MO",2007,"2007-09-04","0-2",2,,,,6.0,5.5,1.0,,"D"
"MO",2007,"2007-09-04","0-8",1,,,,9.0,8.4,1.3,,"D"
"WI",2007,"2007-09-05",0,1,,,,6.4,5.6,1.6,,"D"
"WI",2007,"2007-09-05",1,1,,,,9.0,8.0,2.1,,"D"
"WI",2007,"2007-09-05",2,1,,,,8.9,7.8,2.2,,"D"
"WI",2007,"2007-09-05","0-2",1,,,,8.9,7.9,2.2,,"D"
"WI",2007,"2007-09-05","0-2",2,,,,8.6,7.7,2.0,,"D"
"FI",2007,"2007-09-21",0,1,,,,11.2,10.0,2.6,,"D"
"FI",2007,"2007-09-21",2,1,,,,9.4,8.0,3.0,,"D"
"FI",2007,"2007-09-21",4,1,,,,9.9,8.5,2.9,,"D"
"FI",2007,"2007-09-21",6,1,,,,9.1,7.6,3.2,,"D"
"FI",2007,"2007-09-21",8,1,,,,2.1,1.5,1.3,,"D"
"FI",2007,"2007-09-21",10,1,,,,2.0,1.4,1.1,,"D"
"FI",2007,"2007-09-21","0-2",1,,,,12.2,11.2,2.0,,"D"
"FI",2007,"2007-09-21","0-2",2,,,,10.1,8.8,2.7,,"D"
"ME",2007,"2007-10-01","0-2",1,,,,11.3,9.8,3.2,,"D"
"ME",2007,"2007-10-01","0-2",2,,,,13.5,11.9,3.2,,"D"
"ME",2007,"2007-10-01","0-8",1,,,,10.9,9.5,3.0,,"D"
"WI",2007,"2007-10-03","0-2",1,,,,14.2,12.8,2.9,,"D"
"WI",2007,"2007-10-03","0-2",2,,,,13.8,12.3,3.1,,"D"
"MO",2007,"2007-10-04","0-2",1,,,,10.7,9.0,3.6,,"D"
"MO",2007,"2007-10-04","0-2",2,,,,15.6,13.1,5.3,,"D"
"MO",2007,"2007-10-04","0-8",1,,,,17.4,15.4,4.2,,"D"
"FI",2007,"2007-10-10",0,1,,,,4.4,3.8,1.2,,"D"
"FI",2007,"2007-10-10",2,1,,,,5.1,4.4,1.3,,"D"
"FI",2007,"2007-10-10",4,1,,,,5.7,5.0,1.5,,"D"
"FI",2007,"2007-10-10",6,1,,,,5.1,4.5,1.3,,"D"
"FI",2007,"2007-10-10",8,1,,,,1.5,0.9,1.3,,"D"
"FI",2007,"2007-10-10",10,1,,,,1.8,-4.7,13.7,,"D"
"FI",2007,"2007-10-10","0-2",1,,,,4.1,3.5,1.2,,"D"
"FI",2007,"2007-10-10","0-2",2,,,,5.0,4.4,1.2,,"D"
"ME",2007,"2007-10-29","0-2",1,,,,2.5,2.0,1.0,,"D"
"ME",2007,"2007-10-29","0-2",2,,,,1.7,1.4,0.7,,"D"
"ME",2007,"2007-10-29","0-8",1,,,,1.8,1.4,0.8,,"D"
"MO",2007,"2007-10-29","0-2",1,,,,7.6,5.9,3.6,,"D"
"MO",2007,"2007-10-29","0-2",2,,,,7.0,5.2,3.8,,"D"
"MO",2007,"2007-10-29","0-8",1,,,,7.6,5.9,3.7,,"D"
"FI",2007,"2007-10-30",0,1,,,,4.9,4.3,1.2,,"D"
"FI",2007,"2007-10-30",2,1,,,,4.8,4.2,1.2,,"D"
"FI",2007,"2007-10-30",4,1,,,,4.9,4.2,1.3,,"D"
"FI",2007,"2007-10-30",6,1,,,,4.5,3.9,1.3,,"D"
"FI",2007,"2007-10-30",8,1,,,,9.6,9.0,1.5,,"D"
"FI",2007,"2007-10-30",10,1,,,,5.1,4.5,1.2,,"D"
"FI",2007,"2007-10-30",12,1,,,,1.4,-3.4,10.2,,"D"
"FI",2007,"2007-10-30","0-2",1,,,,6.4,5.7,1.3,,"D"
"FI",2007,"2007-10-30","0-2",2,,,,6.5,5.9,1.3,,"D"
"WI",2007,"2007-10-31","0-2",1,,,,13.3,11.8,3.1,,"D"
"WI",2007,"2007-10-31","0-2",2,,,,13.9,12.8,2.4,,"D"
"ME",2007,"2007-11-26","0-2",1,,,,1.2,0.8,0.7,,"D"
"ME",2007,"2007-11-26","0-2",2,,,,1.3,0.9,0.7,,"D"
"ME",2007,"2007-11-26","0-8",1,,,,1.1,0.8,0.6,,"D"
"MO",2007,"2007-11-26","0-2",1,,,,3.4,2.4,2.1,,"D"
"MO",2007,"2007-11-26","0-2",2,,,,4.0,2.9,2.3,,"D"
"MO",2007,"2007-11-26","0-8",1,,,,3.5,2.6,1.9,,"D"
"FI",2007,"2007-11-28",0,1,,,,7.3,6.6,1.5,,"D"
"FI",2007,"2007-11-28",2,1,,,,7.2,6.3,1.8,,"D"
"FI",2007,"2007-11-28",4,1,,,,9.5,8.0,3.2,,"D"
"FI",2007,"2007-11-28",6,1,,,,6.8,6.1,1.5,,"D"
"FI",2007,"2007-11-28",8,1,,,,8.2,7.4,1.7,,"D"
"FI",2007,"2007-11-28",10,1,,,,7.5,6.8,1.5,,"D"
"FI",2007,"2007-11-28",12,1,,,,5.3,4.6,1.5,,"D"
"FI",2007,"2007-11-28","0-2",1,,,,7.9,7.1,1.6,,"D"
"FI",2007,"2007-11-28","0-2",2,,,,6.9,6.1,1.6,,"D"
"ME",2008,"2008-02-13","0-2",1,0.5,0.5,0.1,1.9,1.6,0.6,"J","D"
"ME",2008,"2008-02-13","0-2",2,0.7,0.6,0.2,1.7,1.5,0.3,"J","D"
"ME",2008,"2008-02-13","0-8",1,0.4,0.3,0.2,0.9,0.8,0.2,"J","D"
"MO",2008,"2008-02-18","0-2",1,1.2,1.0,0.2,2.6,2.4,0.6,"J","D"
"MO",2008,"2008-02-18","0-2",2,1.7,1.5,0.3,2.7,2.3,0.9,"J","D"
"MO",2008,"2008-02-18","0-8",1,0.6,0.4,0.3,1.1,0.9,0.4,"J","D"
"WI",2008,"2008-02-18","0-2",1,0.7,0.1,0.9,2.1,1.6,1.1,"J","D"
"WI",2008,"2008-02-18","0-2",2,0.8,0.3,0.7,2.1,1.5,1.1,"J","D"
"FI",2008,"2008-02-22","0-2",1,6.5,5.7,0.9,8.3,8.6,-0.7,"J","D"
"FI",2008,"2008-02-22","0-2",2,2.3,1.8,0.7,5.5,5.6,-0.2,"J","D"
"ME",2008,"2008-04-14","0-2",1,9.9,21.0,-19.5,12.7,12.1,1.3,"J","D"
"ME",2008,"2008-04-14","0-2",2,19.8,22.3,-4.8,26.0,25.3,1.4,"J","D"
"ME",2008,"2008-04-14","0-8",1,18.8,21.5,-5.7,21.0,15.8,11.0,"J","D"
"WI",2008,"2008-04-15","0-2",1,24.4,26.2,-4.1,20.3,20.0,0.7,"J","D"
"WI",2008,"2008-04-15","0-2",2,10.5,11.0,-1.3,19.6,18.4,2.6,"J","D"
"MO",2008,"2008-04-17","0-2",1,14.9,15.2,-1.4,19.7,16.5,6.9,"J","D"
"MO",2008,"2008-04-17","0-2",2,12.5,9.2,4.9,19.4,16.7,5.8,"J","D"
"MO",2008,"2008-04-17","0-8",1,16.1,15.5,0.1,12.1,11.6,1.0,"J","D"
"FI",2008,"2008-04-18","0-2",1,7.4,8.5,-2.3,13.8,12.0,3.6,"J","D"
"FI",2008,"2008-04-18","0-2",2,8.4,9.5,-2.4,13.0,12.0,2.1,"J","D"
"ME",2008,"2008-04-28","0-2",1,3.2,3.1,-0.1,3.5,3.1,0.9,"J","D"
"ME",2008,"2008-04-28","0-2",2,3.1,2.4,1.1,4.2,3.8,0.9,"J","D"
"ME",2008,"2008-04-28","0-8",1,5.6,5.6,-0.4,9.1,7.9,2.4,"J","D"
"WI",2008,"2008-04-29","0-2",1,8.5,8.2,0.0,17.3,15.1,4.7,"J","D"
"WI",2008,"2008-04-29","0-2",2,10.0,7.3,4.2,15.0,13.0,4.3,"J","D"
"MO",2008,"2008-04-30","0-2",1,3.8,2.9,1.3,6.0,5.4,1.2,"J","D"
"MO",2008,"2008-04-30","0-2",2,3.8,2.8,1.4,6.9,6.7,0.3,"J","D"
"MO",2008,"2008-04-30","0-8",1,4.5,4.7,-0.6,5.8,3.7,4.4,"J","D"
"FI",2008,"2008-05-02","0-2",1,21.9,25.6,-7.8,18.7,17.8,1.8,"J","D"
"FI",2008,"2008-05-02","0-2",2,15.0,16.6,-3.7,18.2,15.2,6.3,"J","D"
"ME",2008,"2008-05-12","0-2",1,1.4,1.4,-0.1,2.1,1.8,0.7,"J","D"
"ME",2008,"2008-05-12","0-2",2,1.1,1.1,0.0,1.9,1.6,0.7,"J","D"
"ME",2008,"2008-05-12","0-8",1,1.9,1.2,1.1,3.0,2.6,1.0,"J","D"
"WI",2008,"2008-05-13","0-2",1,2.1,1.7,0.6,3.3,3.0,0.6,"J","D"
"WI",2008,"2008-05-13","0-2",2,1.6,2.1,-1.0,3.3,3.2,0.2,"J","D"
"MO",2008,"2008-05-14","0-2",1,2.2,2.5,-0.6,1.9,1.4,1.1,"J","D"
"MO",2008,"2008-05-14","0-2",2,1.3,1.0,0.4,2.0,1.8,0.6,"J","D"
"MO",2008,"2008-05-14","0-8",1,1.3,1.5,-0.4,2.1,1.9,0.3,"J","D"
"FI",2008,"2008-05-16","0-2",1,18.4,21.3,-6.1,6.8,7.1,-0.6,"J","D"
"FI",2008,"2008-05-16","0-2",2,11.1,10.5,0.4,8.4,8.3,0.3,"J","D"
"FI",2008,"2008-05-27","0-2",1,5.4,6.3,-2.0,8.4,8.0,0.8,"J","D"
"FI",2008,"2008-05-27","0-2",2,4.7,5.8,-2.3,10.3,10.4,-0.3,"J","D"
"ME",2008,"2008-05-28","0-2",1,0.4,0.5,-0.1,1.0,0.9,0.3,"J","D"
"ME",2008,"2008-05-28","0-2",2,0.9,0.8,0.2,0.9,0.7,0.3,"J","D"
"ME",2008,"2008-05-28","0-8",1,0.8,0.9,-0.2,1.0,0.9,0.2,"J","D"
"MO",2008,"2008-05-28","0-2",1,1.9,2.2,-0.8,2.6,2.5,0.2,"J","D"
"MO",2008,"2008-05-28","0-2",2,1.7,2.1,-0.8,2.1,2.0,0.4,"J","D"
"MO",2008,"2008-05-28","0-8",1,1.9,1.7,0.2,2.8,2.7,0.1,"J","D"
"WI",2008,"2008-05-29","0-2",1,1.6,1.5,0.1,5.9,5.4,1.2,"J","D"
"WI",2008,"2008-05-29","0-2",2,2.5,2.0,0.7,3.4,2.9,1.2,"J","D"
"ME",2008,"2008-06-09",0,1,,,,1.6,1.3,0.6,,"D"
"ME",2008,"2008-06-09",2,1,,,,1.4,1.2,0.6,,"D"
"ME",2008,"2008-06-09",4,1,,,,1.7,1.3,0.7,,"D"
"ME",2008,"2008-06-09",6,1,,,,1.5,1.1,0.8,,"D"
"ME",2008,"2008-06-09",8,1,,,,0.9,0.7,0.4,,"D"
"ME",2008,"2008-06-09",10,1,,,,1.0,0.7,0.8,,"D"
"ME",2008,"2008-06-09",12,1,,,,1.2,0.7,1.0,,"D"
"ME",2008,"2008-06-09","0-2",1,0.7,0.6,0.2,1.4,1.1,0.7,"J","D"
"ME",2008,"2008-06-09","0-2",2,0.6,0.5,0.1,1.2,0.9,0.6,"J","D"
"ME",2008,"2008-06-09","0-8",1,1.1,0.9,0.4,1.9,1.5,0.9,"J","D"
"MO",2008,"2008-06-10",0,1,,,,2.6,2.4,0.4,,"D"
"MO",2008,"2008-06-10",2,1,,,,1.9,1.7,0.4,,"D"
"MO",2008,"2008-06-10",4,1,,,,2.9,2.7,0.4,,"D"
"MO",2008,"2008-06-10",6,1,,,,2.0,1.7,0.6,,"D"
"MO",2008,"2008-06-10",8,1,,,,2.5,2.2,0.7,,"D"
"MO",2008,"2008-06-10",10,1,,,,1.1,0.5,1.2,,"D"
"MO",2008,"2008-06-10",12,1,,,,1.0,0.5,1.0,,"D"
"MO",2008,"2008-06-10","0-2",1,3.1,2.7,0.4,2.7,2.5,0.4,"J","D"
"MO",2008,"2008-06-10","0-2",2,4.2,3.8,0.5,3.8,3.5,0.7,"J","D"
"MO",2008,"2008-06-10","0-8",1,2.8,2.3,0.6,5.2,5.0,0.4,"J","D"
"WI",2008,"2008-06-11",0,1,,,,18.3,12.9,11.4,,"D"
"WI",2008,"2008-06-11",1,1,,,,22.1,16.2,12.4,,"D"
"WI",2008,"2008-06-11",2,1,,,,25.2,18.8,13.5,,"D"
"WI",2008,"2008-06-11","0-2",1,10.3,9.2,1.2,20.0,18.6,2.9,"J","D"
"WI",2008,"2008-06-11","0-2",2,12.7,11.5,1.2,19.8,18.2,3.4,"J","D"
"FI",2008,"2008-06-13",0,1,,,,14.3,13.8,1.1,,"D"
"FI",2008,"2008-06-13",2,1,,,,8.7,8.3,1.0,,"D"
"FI",2008,"2008-06-13",4,1,,,,12.3,11.8,1.1,,"D"
"FI",2008,"2008-06-13",6,1,,,,12.8,5.8,14.9,,"D"
"FI",2008,"2008-06-13",7,1,,,,9.6,9.3,0.6,,"D"
"FI",2008,"2008-06-13",8,1,,,,9.0,8.9,0.2,,"D"
"FI",2008,"2008-06-13",9,1,,,,4.7,3.2,3.2,,"D"
"FI",2008,"2008-06-13",10,1,,,,1.8,1.5,0.6,,"D"
"FI",2008,"2008-06-13","0-2",1,4.2,5.9,-3.3,14.3,14.0,0.7,"J","D"
"FI",2008,"2008-06-13","0-2",2,4.3,3.9,0.4,9.6,9.3,0.7,"J","D"
"ME",2008,"2008-06-23","0-2",1,18.6,30.5,-21.4,17.8,10.4,15.8,"J","D"
"ME",2008,"2008-06-23","0-2",2,16.7,17.3,-2.0,8.4,7.4,2.1,"J","D"
"ME",2008,"2008-06-23","0-8",1,7.0,8.2,-2.4,10.0,5.6,9.3,"J","D"
"MO",2008,"2008-06-24","0-2",1,5.4,5.9,-1.3,5.1,4.7,1.0,"J","D"
"MO",2008,"2008-06-24","0-2",2,5.5,5.7,-0.6,11.6,8.5,6.5,"J","D"
"MO",2008,"2008-06-24","0-8",1,0.9,0.4,0.8,7.4,6.1,2.6,"J","D"
"WI",2008,"2008-06-25","0-2",1,3.4,3.0,0.5,7.7,6.4,2.7,"J","D"
"WI",2008,"2008-06-25","0-2",2,3.9,6.0,-3.8,8.5,7.2,2.7,"J","D"
"FI",2008,"2008-06-27","0-2",1,9.1,9.7,-1.5,7.2,6.4,1.6,"J","D"
"FI",2008,"2008-06-27","0-2",2,9.4,10.7,-2.9,10.4,9.7,1.6,"J","D"
"ME",2008,"2008-07-07",0,1,,,,30.2,21.5,18.5,,"D"
"ME",2008,"2008-07-07",2,1,,,,25.5,12.7,27.2,,"D"
"ME",2008,"2008-07-07",4,1,,,,1.9,1.6,0.5,,"D"
"ME",2008,"2008-07-07",6,1,,,,0.8,0.6,0.3,,"D"
"ME",2008,"2008-07-07",8,1,,,,0.4,0.3,0.2,,"D"
"ME",2008,"2008-07-07",10,1,,,,0.6,0.3,0.5,,"D"
"ME",2008,"2008-07-07",12,1,,,,0.3,0.2,0.2,,"D"
"ME",2008,"2008-07-07","0-2",1,23.9,38.5,-26.4,20.0,15.3,10.1,"J","D"
"ME",2008,"2008-07-07","0-2",2,15.7,26.5,-19.3,14.3,11.9,5.1,"J","D"
"ME",2008,"2008-07-07","0-8",1,5.6,6.5,-1.8,11.0,8.8,4.8,"J","D"
"MO",2008,"2008-07-08",0,1,,,,17.0,13.0,8.5,,"D"
"MO",2008,"2008-07-08",2,1,,,,22.2,13.0,19.5,,"D"
"MO",2008,"2008-07-08",4,1,,,,4.7,4.0,1.3,,"D"
"MO",2008,"2008-07-08",6,1,,,,1.3,0.9,0.9,,"D"
"MO",2008,"2008-07-08",8,1,,,,1.2,0.8,0.9,,"D"
"MO",2008,"2008-07-08",10,1,,,,0.6,0.4,0.4,,"D"
"MO",2008,"2008-07-08",12,1,,,,0.5,0.3,0.4,,"D"
"MO",2008,"2008-07-08","0-2",1,5.9,6.8,-1.8,15.6,12.8,5.9,"J","D"
"MO",2008,"2008-07-08","0-2",2,9.2,15.0,-10.4,12.8,11.5,2.9,"J","D"
"MO",2008,"2008-07-08","0-8",1,4.7,4.9,-0.6,9.4,8.2,2.5,"J","D"
"WI",2008,"2008-07-09",0,1,,,,11.5,7.9,7.6,,"D"
"WI",2008,"2008-07-09",1,1,,,,12.8,10.1,5.6,,"D"
"WI",2008,"2008-07-09",2,1,,,,12.0,9.5,5.3,,"D"
"WI",2008,"2008-07-09","0-2",1,3.5,4.3,-1.5,9.2,7.5,3.6,"J","D"
"WI",2008,"2008-07-09","0-2",2,1.7,0.9,1.3,8.5,6.8,3.5,"J","D"
"FI",2008,"2008-07-10",0,1,,,,11.3,9.5,3.7,,"D"
"FI",2008,"2008-07-10",1,1,5.6,6.2,-1.5,,,,"J",
"FI",2008,"2008-07-10",2,1,7.5,8.5,-2.3,8.1,6.9,2.5,"J","D"
"FI",2008,"2008-07-10",3,1,4.9,5.7,-1.6,,,,"J",
"FI",2008,"2008-07-10",4,1,4.8,6.1,-2.5,9.8,8.3,3.1,"J","D"
"FI",2008,"2008-07-10",5,1,0.5,0.6,-0.3,,,,"J",
"FI",2008,"2008-07-10",6,1,0.2,0.5,-0.5,2.1,1.0,2.4,"J","D"
"FI",2008,"2008-07-10",7,1,0.3,0.4,-0.2,1.3,0.7,1.4,"J","D"
"FI",2008,"2008-07-10",8,1,0.2,0.3,-0.2,2.7,1.1,3.3,"J","D"
"FI",2008,"2008-07-10",9,1,0.4,0.4,-0.1,1.2,0.7,1.0,"J","D"
"FI",2008,"2008-07-10",10,1,0.2,0.2,-0.1,0.9,0.4,1.0,"J","D"
"FI",2008,"2008-07-10",11,1,0.1,0.1,-0.1,0.5,0.2,0.6,"J","D"
"FI",2008,"2008-07-10",12,1,0.0,0.1,-0.1,1.7,0.7,2.3,"J","D"
"FI",2008,"2008-07-10","0-2",1,6.9,7.4,-1.4,8.4,7.2,2.5,"J","D"
"FI",2008,"2008-07-10","0-2",2,7.0,7.2,-0.8,5.8,5.0,1.7,"J","D"
"ME",2008,"2008-07-21","0-2",1,9.1,10.8,-3.4,13.7,12.0,3.7,"J","D"
"ME",2008,"2008-07-21","0-2",2,7.3,8.1,-1.7,15.1,13.2,4.1,"J","D"
"ME",2008,"2008-07-21","0-8",1,6.8,8.6,-3.5,13.1,11.3,4.0,"J","D"
"MO",2008,"2008-07-21","0-2",1,12.4,13.1,-1.9,15.8,11.5,9.1,"J","D"
"MO",2008,"2008-07-21","0-2",2,8.3,13.4,-9.2,20.0,17.6,5.2,"J","D"
"MO",2008,"2008-07-21","0-8",1,8.8,9.9,-2.3,20.5,14.3,12.9,"J","D"
"WI",2008,"2008-07-22","0-2",1,0.8,0.8,0.1,2.8,2.5,0.7,"J","D"
"WI",2008,"2008-07-22","0-2",2,1.0,0.8,0.2,5.6,4.5,2.2,"J","D"
"FI",2008,"2008-07-23","0-2",1,6.1,6.3,-0.7,10.6,9.0,3.3,"J","D"
"FI",2008,"2008-07-23","0-2",2,6.3,6.7,-1.0,13.3,11.2,4.4,"J","D"
"ME",2008,"2008-08-04",0,1,,,,14.1,12.4,3.7,,"D"
"ME",2008,"2008-08-04",2,1,,,,13.7,11.7,4.1,,"D"
"ME",2008,"2008-08-04",4,1,,,,14.8,7.7,15.1,,"D"
"ME",2008,"2008-08-04",6,1,,,,5.3,4.0,2.7,,"D"
"ME",2008,"2008-08-04",8,1,,,,1.6,1.0,1.4,,"D"
"ME",2008,"2008-08-04",10,1,,,,1.1,0.6,1.0,,"D"
"ME",2008,"2008-08-04",12,1,,,,0.9,0.6,0.7,,"D"
"ME",2008,"2008-08-04","0-2",1,7.9,8.5,-1.5,6.5,5.3,2.5,"J","D"
"ME",2008,"2008-08-04","0-2",2,9.6,15.7,-11.0,13.7,12.1,3.3,"J","D"
"ME",2008,"2008-08-04","0-8",1,10.8,10.6,-0.5,20.4,16.4,8.6,"J","D"
"MO",2008,"2008-08-05",0,1,,,,14.9,12.3,5.5,,"D"
"MO",2008,"2008-08-05",2,1,,,,23.5,13.9,20.5,,"D"
"MO",2008,"2008-08-05",4,1,,,,12.0,11.1,2.0,,"D"
"MO",2008,"2008-08-05",6,1,,,,10.4,9.0,2.9,,"D"
"MO",2008,"2008-08-05",8,1,,,,2.8,2.1,1.5,,"D"
"MO",2008,"2008-08-05",10,1,,,,1.5,1.1,1.0,,"D"
"MO",2008,"2008-08-05",12,1,,,,1.9,1.5,0.9,,"D"
"MO",2008,"2008-08-05","0-2",1,9.8,10.9,-2.4,15.2,9.7,11.5,"J","D"
"MO",2008,"2008-08-05","0-2",2,11.5,17.8,-11.4,16.5,11.6,10.4,"J","D"
"MO",2008,"2008-08-05","0-8",1,6.9,7.2,-0.9,16.2,12.6,7.6,"J","D"
"WI",2008,"2008-08-06",0,1,,,,10.2,8.9,2.6,,"D"
"WI",2008,"2008-08-06",1,1,,,,6.6,5.5,2.3,,"D"
"WI",2008,"2008-08-06",2,1,,,,9.7,8.5,2.4,,"D"
"WI",2008,"2008-08-06","0-2",1,1.9,2.4,-1.0,5.4,4.6,1.8,"J","D"
"WI",2008,"2008-08-06","0-2",2,1.9,3.0,-2.0,7.5,6.5,2.3,"J","D"
"FI",2008,"2008-08-07",0,1,,,,13.4,10.7,5.8,,"D"
"FI",2008,"2008-08-07",2,1,,,,12.9,12.0,1.8,,"D"
"FI",2008,"2008-08-07",3,1,,,,12.3,9.9,5.2,,"D"
"FI",2008,"2008-08-07",4,1,,,,10.2,8.0,4.7,,"D"
"FI",2008,"2008-08-07",5,1,,,,12.2,,12.2,,"D"
"FI",2008,"2008-08-07",6,1,,,,12.5,,12.5,,"D"
"FI",2008,"2008-08-07",7,1,,,,4.4,,4.4,,"D"
"FI",2008,"2008-08-07",8,1,,,,2.1,-3.7,12.3,,"D"
"FI",2008,"2008-08-07",9,1,,,,1.1,-1.5,5.5,,"D"
"FI",2008,"2008-08-07",10,1,,,,1.1,0.0,2.3,,"D"
"FI",2008,"2008-08-07",11,1,,,,1.3,-1.4,5.8,,"D"
"FI",2008,"2008-08-07",12,1,,,,1.2,-0.6,3.8,,"D"
"FI",2008,"2008-08-07","0-2",1,9.9,11.1,-2.7,19.1,15.5,7.7,"J","D"
"FI",2008,"2008-08-07","0-2",2,6.3,6.4,-0.5,19.7,16.1,7.6,"J","D"
"ME",2008,"2008-08-18","0-2",1,9.8,10.8,-2.5,13.3,11.9,3.1,"J","D"
"ME",2008,"2008-08-18","0-2",2,8.5,9.4,-2.1,17.2,14.5,5.8,"J","D"
"ME",2008,"2008-08-18","0-8",1,,,,19.2,11.4,16.6,,"D"
"MO",2008,"2008-08-18","0-2",1,27.0,43.6,-29.9,10.8,9.4,3.0,"J","D"
"MO",2008,"2008-08-18","0-2",2,7.1,11.5,-7.8,11.4,9.7,3.5,"J","D"
"MO",2008,"2008-08-18","0-8",1,6.0,9.7,-6.6,10.9,9.0,3.9,"J","D"
"WI",2008,"2008-08-19","0-2",1,9.9,8.0,2.7,5.0,4.3,1.6,"J","D"
"WI",2008,"2008-08-19","0-2",2,8.2,12.6,-8.0,4.8,4.0,1.6,"J","D"
"FI",2008,"2008-08-20","0-2",1,12.7,20.1,-13.4,18.3,15.2,6.5,"J","D"
"FI",2008,"2008-08-20","0-2",2,10.5,16.3,-10.5,14.5,12.2,4.9,"J","D"
"ME",2008,"2008-09-05",0,1,,,,5.5,4.9,1.3,,"D"
"ME",2008,"2008-09-05",2,1,,,,7.2,6.1,2.3,,"D"
"ME",2008,"2008-09-05",4,1,,,,11.2,9.6,3.5,,"D"
"ME",2008,"2008-09-05",6,1,,,,6.7,5.8,1.8,,"D"
"ME",2008,"2008-09-05",8,1,,,,7.5,6.5,2.1,,"D"
"ME",2008,"2008-09-05",10,1,,,,6.1,5.2,1.9,,"D"
"ME",2008,"2008-09-05","0-2",1,4.7,4.8,-0.5,7.3,6.2,2.2,"J","D"
"ME",2008,"2008-09-05","0-2",2,6.0,6.5,-1.3,8.6,7.3,2.7,"J","D"
"ME",2008,"2008-09-05","0-8",1,3.0,4.7,0.0,8.1,7.0,2.3,"J","D"
"MO",2008,"2008-09-05",0,1,,,,8.9,7.8,2.3,,"D"
"MO",2008,"2008-09-05",2,1,,,,12.9,11.1,3.9,,"D"
"MO",2008,"2008-09-05",4,1,,,,6.9,6.1,1.7,,"D"
"MO",2008,"2008-09-05",6,1,,,,4.7,4.1,1.4,,"D"
"MO",2008,"2008-09-05",8,1,,,,10.7,9.1,3.3,,"D"
"MO",2008,"2008-09-05",10,1,,,,5.7,5.0,1.5,,"D"
